source,level,target
2321,3,2321
1476,3,1476
3351,3,3351
2746,3,2746
2875,3,2876
2876,3,2876
2874,3,2876
2006,3,2006
5467,3,5467
8534,3,8534
5369,3,5369
1908,3,1908
762,3,762
6289,3,6289
5562,3,5562
703,3,703
609,3,597
c_25e0bb6d,3,597
608,3,597
607,3,597
610,3,597
597,3,597
600,3,597
602,3,597
599,3,597
3147,3,597
1169,3,597
1611,3,1611
776,3,776
8510,3,8510
338,3,338
2663,3,2663
1996,3,1996
5830,3,5830
3275,3,3275
3095,3,3095
3663,3,3663
2235,3,2235
8451,3,2235
5919,3,5919
953,3,953
2037,3,2037
1265,3,1265
4052,3,1450
5132,3,1450
1450,3,1450
4041,3,1450
4051,3,1450
571,3,571
2936,3,2936
8005,3,8005
1871,3,2110
1875,3,2110
1877,3,2110
2110,3,2110
1872,3,2110
1776,3,2110
981,3,981
3818,3,3818
2935,3,2935
4741,3,4741
6905,3,6905
1500,3,1500
2425,3,2425
3616,3,3616
1880,3,1880
1761,3,1761
2451,3,2451
6218,3,2451
8430,3,2451
4327,3,4327
6699,3,1139
1139,3,1139
5065,3,5065
2383,3,2383
4843,3,4843
6312,3,6312
812,3,812
5144,3,5144
5750,3,5750
4124,3,4124
1572,3,1572
4271,3,4271
5586,3,4271
5600,3,4271
4131,3,4131
5878,3,5878
3868,3,3868
7955,3,7955
4548,3,4548
2979,3,2979
2585,3,2585
8413,3,c_324b44f1
443345,3,c_324b44f1
6907,3,c_324b44f1
c_324b44f1,3,c_324b44f1
1008,3,1008
5198,3,5198
2301,3,2301
3604,3,3604
8007,3,8007
5029,3,5029
4814,3,4814
6739,3,6739
2424,3,2424
1651,3,1651
5381,3,5381
37,3,37
4758,3,4758
6395,3,6395
c_a2e1def8,3,c_a2e1def8
1905,3,1905
2,3,2
5227,3,5227
5930,3,5930
1577,3,1577
2078,3,2078
6026,3,6026
6727,3,6727
1527,3,1527
1473,3,1473
8547,3,2032
1207,3,2032
3816,3,2032
2032,3,2032
1822,3,2032
6266,3,6266
2843,3,2843
8306,3,8306
8412,3,8412
5663,3,5663
6627,3,6627
6394,3,6394
3999,3,3999
6377,3,6377
6324,3,6324
6325,3,6324
464,3,464
8471,3,8471
4088,3,4088
7188,3,7188
4664,3,4664
5150,3,5149
5149,3,5149
2265,3,2265
1713,3,1713
5488,3,5488
7959,3,5488
4635,3,4635
5560,3,5560
5168,3,5560
6056,3,6056
2955,3,2955
4742,3,4742
5108,3,5108
8523,3,8523
2964,3,2964
7949,3,7949
1816,3,4394
4394,3,4394
5675,3,5675
1715,3,1715
8323,3,8323
443600,3,443600
6374,3,6374
5548,3,5548
367,3,367
686,3,686
116,3,116
1110,3,1110
7993,3,7993
5633,3,5633
8507,3,8507
2744,3,2744
c_fee7acae,3,c_fee7acae
c_67699417,3,c_67699417
1863,3,1863
1128,3,1128
5904,3,5904
5010,3,5010
5647,3,5647
c_cef8ea9d,3,c_cef8ea9d
8514,3,8514
5472,3,5472
5748,3,5748
4525,3,4504
4513,3,4504
4504,3,4504
c_2ffe4574,3,c_2ffe4574
2557,3,2557
2997,3,2997
5143,3,5143
4864,3,4864
3884,3,3884
916,3,916
5901,3,5901
8511,3,8511
4007,3,4007
4551,3,4551
5772,3,5772
4694,3,4694
2209,3,2209
5743,3,2209
417,3,417
2714,3,2714
118,3,118
4755,3,4755
5866,3,5866
23,3,23
2229,3,2229
2894,3,2894
867,3,867
5070,3,5070
2857,3,2857
5339,3,2857
4439,3,2857
3907,3,2857
6353,3,6353
8468,3,8468
6919,3,6919
3600,3,3600
1642,3,1642
5128,3,5128
4576,3,4576
4446,3,4446
3415,3,3415
4289,3,4289
5917,3,5917
1343,3,1343
6774,3,6774
7137,3,7137
1425,3,1425
6711,3,1425
3406,3,3406
6004,3,6004
4310,3,4310
c_9a9e5627,3,c_9a9e5627
8313,3,8313
6391,3,6391
5850,3,884
884,3,884
6900,3,6900
6278,3,6278
4261,3,2233
c_b3e9d826,3,2233
4658,3,2233
4197,3,2233
2233,3,2233
2598,3,2598
4749,3,4749
1028,3,1028
5253,3,5253
5461,3,5461
1132,3,1132
6060,3,6060
2088,3,2088
5242,3,5242
4637,3,4637
4639,3,4637
4638,3,4637
645,3,645
c_a3b85311,3,c_a3b85311
5412,3,5412
3631,3,3631
974,3,974
3681,3,3681
4891,3,4891
2043,3,2043
2256,3,2256
1955,3,1955
5388,3,5392
5391,3,5392
5111,3,5392
5392,3,5392
950,3,950
3971,3,3971
3940,3,3940
5072,3,5072
3548,3,3548
3727,3,3727
6337,3,3727
1939,3,1939
1051,3,1051
5436,3,5436
3995,3,3995
2880,3,2880
6105,3,6105
596,3,596
4288,3,4288
4321,3,4321
5909,3,3705
3705,3,3705
4429,3,4429
7136,3,7136
8524,3,8524
5454,3,5454
8002,3,8002
4628,3,4628
7132,3,6710
6710,3,6710
4824,3,4824
30,3,30
5886,3,5886
3858,3,3858
445203,3,445203
1865,3,1865
3637,3,3637
2234,3,2234
1777,3,1777
6613,3,6613
623,3,623
572,3,572
882,3,882
5761,3,5761
7994,3,7994
64,3,64
1501,3,1501
7342,3,7342
2426,3,2426
6757,3,6757
3830,3,3830
3249,3,3249
3927,3,3927
2349,3,2349
1666,3,1666
6281,3,6281
6929,3,6929
2019,3,2019
1843,3,1843
1243,3,1243
6896,3,6896
c_1137acd8,3,c_1137acd8
8530,3,8530
3573,3,3573
6269,3,6269
3135,3,3135
1559,3,1559
62,3,62
1103,3,1103
6077,3,6077
2523,3,2523
5145,3,5145
3472,3,3472
5326,3,3472
769,3,769
859,3,859
c_e9ccc5a7,3,c_e9ccc5a7
5484,3,5484
1648,3,1648
3405,3,3405
2433,3,2433
6392,3,6392
6000,3,6000
1678,3,1678
2132,3,2132
433963,3,433963
4495,3,4495
1689,3,1689
2282,3,2282
5060,3,5060
8535,3,8535
7891,3,7891
975,3,975
1237,3,1237
4135,3,4135
4393,3,4393
3444,3,3444
5784,3,5784
447503,3,447503
5960,3,5960
5375,3,5375
5011,3,5011
6887,3,6887
1973,3,1973
1581,3,1581
4092,3,4092
3372,3,3372
5084,3,5084
5161,3,5161
1940,3,5161
5112,3,5161
5113,3,5161
1747,3,5161
5110,3,5161
5924,3,5071
5828,3,5071
5071,3,5071
4487,3,5071
1502,3,1502
2227,3,2227
2692,3,2692
5385,3,5385
7988,3,7988
3419,3,3419
1992,3,1992
126,3,126
3364,3,3364
2329,3,2329
3412,3,3412
4617,3,4617
5013,3,5013
2618,3,2618
c_fd848a9f,3,c_fd848a9f
2208,3,2208
88,3,88
1793,3,1793
2896,3,2896
5518,3,5518
1972,3,1972
c_e749c083,3,c_e749c083
6093,3,6093
c_eb3ada47,3,c_eb3ada47
1574,3,1574
437539,3,437539
1219,3,1219
6926,3,6926
378,3,378
2056,3,2056
3516,3,3516
2080,3,5754
5754,3,5754
3295,3,3295
3748,3,3748
5101,3,5101
1515,3,1515
94,3,94
5568,3,5568
2018,3,2018
3836,3,3836
5362,3,5362
497,3,497
3792,3,3792
3217,3,3217
4178,3,4178
1217,3,1217
4853,3,4853
5262,3,5262
3771,3,5262
3772,3,5262
3776,3,5262
c_315af034,3,5262
3777,3,5262
5609,3,5609
6718,3,6718
8415,3,8415
c_dcc650ef,3,c_dcc650ef
2386,3,2386
5839,3,5839
4881,3,4881
901,3,901
350,3,350
1220,3,1220
3729,3,3729
5594,3,5594
4203,3,4203
3445,3,3445
2111,3,2111
46,3,46
5476,3,5476
6775,3,6775
8462,3,8462
5599,3,5599
2357,3,2357
c_50fb9d42,3,c_50fb9d42
1083,3,1083
2373,3,2373
2680,3,1534
1534,3,1534
4676,3,4676
2304,3,2304
876,3,876
6925,3,6925
6309,3,6309
2352,3,2352
c_6f7bbe63,3,c_6f7bbe63
1983,3,1983
553,3,553
2709,3,2709
4746,3,4746
5213,3,5213
4384,3,4384
902,3,902
3158,3,3158
5089,3,5089
3552,3,3552
2545,3,1383
1837,3,1383
1383,3,1383
6902,3,3240
3240,3,3240
2835,3,2835
2991,3,2991
3266,3,3266
3389,3,3389
951,3,951
5539,3,5539
3678,3,3678
5416,3,5416
c_a18525ab,3,c_a18525ab
294,3,c_a18525ab
c_18180cde,3,c_a18525ab
1787,3,c_a18525ab
3330,3,3330
3978,3,3978
6280,3,6280
1441,3,1441
3380,3,3380
3302,3,3302
8536,3,8536
3456,3,3454
3510,3,3454
3454,3,3454
133,3,133
8305,3,8305
5920,3,5920
4687,3,4687
5751,3,5751
921,3,921
3708,3,3708
5965,3,5965
1679,3,1679
7941,3,7941
5986,3,5986
6705,3,6705
3569,3,3569
7362,3,7362
5890,3,5890
898,3,897
897,3,897
4752,3,4752
5771,3,5771
2048,3,2048
5712,3,5712
7395,3,7395
4523,3,726
2899,3,726
4592,3,726
503,3,726
1121,3,726
4154,3,726
726,3,726
6304,3,6304
1855,3,1855
